win,dragon_kills
True,3
False,1
False,2
False,3
True,3
True,3
True,3
False,1
False,3
True,2
False,0
False,4
True,3
True,1
True,3
False,1
True,1
False,0
False,2
True,3
True,4
False,1
True,4
False,0
True,2
True,2
False,2
False,0
True,1
False,2
False,1
True,4
False,1
True,3
False,0
True,4
False,1
True,2
False,1
True,2
True,4
False,1
True,3
False,2
False,2
False,0
True,4
True,4
False,0
True,5
False,1
True,3
False,0
True,4
True,3
True,2
False,2
False,1
False,2
True,4
False,1
False,2
True,3
True,3
False,1
True,3
True,3
False,0
True,3
False,1
False,1
True,2
True,3
False,3
True,1
False,2
True,4
False,1
False,0
True,4
True,3
False,1
True,3
True,1
False,2
False,4
False,2
True,3
False,1
True,3
True,4
False,2
False,0
True,4
False,2
True,2
False,1
True,2
False,1
True,1
True,4
False,1
False,2
True,4
True,2
False,1
True,1
False,0
False,0
True,4
True,4
False,0
False,1
True,3
False,4
False,3
True,1
True,0
True,1
False,1
True,2
False,1
True,1
False,2
False,3
False,3
True,2
True,3
False,2
True,2
True,4
True,3
False,0
False,0
False,2
True,0
True,1
False,1
False,0
True,4
True,1
False,3
False,0
True,2
True,5
False,4
True,1
False,0
True,3
False,2
False,3
True,2
False,4
True,2
False,2
False,0
True,4
True,2
True,2
False,2
False,3
True,1
True,3
False,0
False,0
True,4
False,0
True,5
True,3
False,1
True,5
False,0
False,1
True,3
False,1
True,4
False,0
True,3
True,2
False,0
True,1
False,0
True,3
False,1
False,5
False,0
True,2
True,5
False,2
True,1
True,2
False,2
True,2
False,0
False,0
True,4
True,2
False,1
True,4
False,0
True,1
False,3
False,1
True,5
True,4
True,2
False,2
False,3
True,2
False,4
False,0
True,3
False,1
True,3
False,2
True,3
True,2
False,1
True,2
False,4
True,3
False,2
False,1
True,2
